app_id,appInfo.appName,appInfo.publisher,appInfo.price
1479814602,央视频-看奥运全赛程直播,Yangshipin,免费
6451407032,红果短剧-海量热门短剧随心看,"Beijing Bimo Liuxiang Technology Co., Ltd.",免费
6459478672,豆包 - 抖音旗下 AI 智能助手,"Beijing Chuntian Zhiyun Technology Co., Ltd.",免费
787130974,咪咕视频-看奥运会直播,咪咕视讯科技有限公司,免费
1160172628,夸克-AI搜索升级,广州市动悦信息技术有限公司,免费
564818797,铁路12306,中国铁道科学研究院集团有限公司,免费
1044283059,拼多多 - 多多买菜，百亿补贴,上海寻梦信息技术有限公司,免费
440948110,快手,"Beijing Kwai Technology Co., Ltd.",免费
414245413,京东-多·快·好·省,"Beijing Jingdong Century Trading Co., Ltd.",免费
515651240,中国农业银行,中国农业银行,免费
461703208,"高德地图-高德打车,导航公交地铁出行",AutoNavi Information Technology Co. Ltd.,免费
507161324,饿了么-外卖放心点，美食准时达,"Shanghai Rajax Information Technology Co., Ltd.",免费
423084029,美团-美好生活小帮手,美团,免费
741292507,小红书 – 你的生活指南,Xingin,免费
1039727169,交管12123,公安部交通管理科学研究所,免费
1142110895,抖音,"Beijing Microlive Vision Technology Co., Ltd",免费
583700738,中国移动（手机营业厅）,中移在线,免费
379395415,携程旅行-订酒店机票火车票,"Shanghai Ctrip Commerce Co.,Ltd",免费
333206289,支付宝-便捷生活，一点就好,"Alipay (Hangzhou) Technology Co., Ltd.",免费
1468454200,番茄小说 - 热门全本小说电子书阅读器,"Beijing Zhending Technology Co., Ltd.",免费
414478124,微信,WeChat,免费
513829338,大麦 - 演出、体育购票平台,"Beijing Damai Cultural Media Development Co., Ltd.",免费
510909506,闲鱼 - 闲不住？上闲鱼！,浙江阿里巴巴闲鱼网络科技有限公司,免费
1012871328,得物 - 得到运动x潮流x好物,"Shanghai Shi Zhuang Information Technology Co.,Ltd.",免费
1605585211,汽水音乐 - 抖音音乐版,"Beijing Microlive Vision Technology Co., Ltd",免费
444934666,QQ,Tencent Technology (Shenzhen) Company Limited,免费
1458072671,剪映,深圳市脸萌科技有限公司,免费
1087897068,企业微信,Tencent Technology (Shenzhen) Company Limited,免费
387682726,淘宝 - 太好逛了吧,浙江淘宝网络有限公司,免费
1477031443,抖音极速版,"Beijing Microlive Vision Technology Co., Ltd",免费
507097717,阿里巴巴(1688)-货源批发采购进货市场,杭州阿里巴巴广告有限公司,免费
6444170965,抖音精选-抖音旗下优质视频平台,"Beijing Microlive Vision Technology Co., Ltd",免费
423514795,中国工商银行,Industrial and Commercial Bank of China,免费
475966832,"同程旅行-订酒店机票火车票,低价打车","Tongcheng Network Technology Co., Ltd.",免费
351091731,大众点评-美食旅游攻略逛吃必备,大众点评网,免费
391965015,中国建设银行,中国建设银行,免费
382201985,百度,"Beijing Baidu Netcom Science & Technology Co.,Ltd",免费
395096736,去哪儿旅行-订机票酒店火车票门票，出行租车,Beijing Qunar Information Technology Company Limit,免费
547166701,百度网盘,"Beijing Duyou Science and Technology Co.,Ltd.",免费
1508443800,番茄畅听-海量小说音乐评书全场畅听,"Beijing Zhending Technology Co., Ltd.",免费
590338362,网易云音乐-畅听我们的歌,杭州网易云音乐科技有限公司,免费
736536022,哔哩哔哩-弹幕番剧直播高清视频,bilibili,免费
6473782436,悟空浏览器-看海量小说影视,"Beijing Infinite Dimension Technology Co.,Ltd",免费
1472502819,快手极速版,华艺汇龙,免费
393765873,爱奇艺-《唐诡西行》独播,QIYI,免费
350962117,微博,SINA Corporation,免费
1500526240,醒图,深圳市脸萌科技有限公司,免费
